codigo_categoria,categoria,nome,definicao,como_implementado,aplicacoes_praticas,indicadores_relacionados,referencias,imagens,referencias_completas
1, Completáveis,Fases completadas,Número de fases concluídas pelos jogadores.,Incremente o valor por 1 cada vez que uma fase é completada. | faseCompletada += 1,Avaliar a progressão dos jogadores.; Identificar pontos de dificuldade no jogo.; Medir o engajamento dos jogadores.,2; 3; 4; 30,https://doi.org/10.5753/cbie.sbie.2020.622; https://doi.org/10.1109/TLT.2020.2968234; https://doi.org/10.1109/NICS51282.2020.9335875; https://ieeexplore.ieee.org/document/7942988; https://doi.org/10.17083/ijsg.v9i4.554; https://doi.org/10.1007/s11423-022-10138-4; https://doi.org/10.1016/j.csi.2016.09.014; https://ieeexplore.ieee.org/document/9369393/; https://doi.org/10.1007/s40593-020-00202-6,,"Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020.; Ruiperez-Valiente, Jose A., et al. ""Patterns of engagement in an educational massively multiplayer online game: A multidimensional view."" IEEE Transactions on Learning Technologies 13.4 (2020): 648-661.; Yohannis, Alfa, Paramaresthi Windriyani, and Henri Septanto. ""Understanding Learning Behaviours in Sorting Algorithm Game."" 2020 7th NAFOSTED Conference on Information and Computer Science (NICS). IEEE, 2020.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017.; Cruz, Paola Julie Aguilar. ""Understanding students engagement with a Serious Game to learn English: A sociocultural perspective."" International Journal of Serious Games 9.4 (2022): 137-152.; Lee, Ji-Eun, et al. ""Does slow and steady win the race?: Clustering patterns of students behaviors in an interactive online mathematics game."" Educational technology research and development 70.5 (2022): 1575-1599.; Serrano-Laguna, Ángel, et al. ""Applying standards to systematize learning analytics in serious games."" Computer Standards & Interfaces 50 (2017): 116-123.; López-Pernas, Sonsoles, et al. ""Escapp: A web platform for conducting educational escape rooms."" IEEE Access 9 (2021): 38062-38077.; Chen, Fu, Ying Cui, and Man-Wai Chu. ""Utilizing game analytics to inform and validate digital game-based assessment with evidence-centered game design: A case study."" International Journal of Artificial Intelligence in Education 30 (2020): 481-503."
1, Completáveis,Número de tentativas,Total de tentativas realizadas pelos jogadores.,Incremente o valor por 1 depois de cada tentativa. | tentativas += 1,Entender a persistência dos jogadores.; Identificar fases ou tarefas mais desafiadoras.; Nivelar a dificuldade do jogo.,3; 4; 5; 6,https://doi.org/10.5753/cbie.sbie.2020.622; https://doi.org/10.1109/URUCON53396.2021.9647058; https://doi.org/10.1109/ACCESS.2021.3110475; https://doi.org/10.1109/ACCESS.2019.2938365; https://doi.org/10.1109/LACLO54177.2021.00014; https://ieeexplore.ieee.org/document/9369393/; https://doi.org/10.1007/s40593-020-00202-6,"3-Melo et al (2020).png, 3-Zapata_Caceres (2021).png","Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020.; Avila-Pesantez, Diego, et al. ""Improving the Serious Game design using Game Learning Analytics and Eye-tracking: A pilot study."" 2021 IEEE URUCON. IEEE, 2021.; Zapata-Cáceres, María, and Estefanía Martín-Barroso. ""Applying game learning analytics to a voluntary video game: Intrinsic motivation, persistence, and rewards in learning to program at an early age."" IEEE Access 9 (2021): 123588-123602.; Cano, Ana Rus, et al. ""Game analytics evidence-based evaluation of a learning game for intellectual disabled users."" IEEE access 7 (2019): 123820-123829.; Torcate, Arianne Sarmento, and Cleyton Mario de Oliveira Rodrigues. ""Educational Data Mining with Learning Analytics and Unsupervised Algorithms: Analysis and Diagnosis in Basic Education."" 2021 XVI Latin American Conference on Learning Technologies (LACLO). IEEE, 2021.; López-Pernas, Sonsoles, et al. ""Escapp: A web platform for conducting educational escape rooms."" IEEE Access 9 (2021): 38062-38077.; Chen, Fu, Ying Cui, and Man-Wai Chu. ""Utilizing game analytics to inform and validate digital game-based assessment with evidence-centered game design: A case study."" International Journal of Artificial Intelligence in Education 30 (2020): 481-503."
1, Completáveis,Número de acertos,Quantidade de respostas corretas dadas pelos jogadores.,Incremente o valor por 1 cada vez que um acerto é registrado. | acertos += 1,Medir a compreensão dos jogadores.; Ajustar a dificuldade das atividades.,2; 4; 9; 30,https://doi.org/10.1109/URUCON53396.2021.9647058; https://doi.org/10.5753/cbie.sbie.2020.622; https://doi.org/10.1109/NICS51282.2020.9335875; https://ieeexplore.ieee.org/document/7942988; https://doi.org/10.17083/ijsg.v9i4.554; https://doi.org/10.1007/s40593-020-00202-6; https://www.learntechlib.org/p/182231/,"4-Avila_Pesantez et al (2021).png, 4-Cruz (2022).png","Avila-Pesantez, Diego, et al. ""Improving the Serious Game design using Game Learning Analytics and Eye-tracking: A pilot study."" 2021 IEEE URUCON. IEEE, 2021.; Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020.; Yohannis, Alfa, Paramaresthi Windriyani, and Henri Septanto. ""Understanding Learning Behaviours in Sorting Algorithm Game."" 2020 7th NAFOSTED Conference on Information and Computer Science (NICS). IEEE, 2020.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017.; Cruz, Paola Julie Aguilar. ""Understanding students engagement with a Serious Game to learn English: A sociocultural perspective."" International Journal of Serious Games 9.4 (2022): 137-152.; Chen, Fu, Ying Cui, and Man-Wai Chu. ""Utilizing game analytics to inform and validate digital game-based assessment with evidence-centered game design: A case study."" International Journal of Artificial Intelligence in Education 30 (2020): 481-503.; Slimani, Abdelali, et al. ""Learning analytics through serious games: Data mining algorithms for performance measurement and improvement purposes."" International Journal of Emerging Technologies in Learning (iJET) 13.1 (2018): 46-64."
1, Completáveis,Número de erros,Quantidade de respostas incorretas dadas pelos jogadores.,Incremente o valor por 1 cada vez que um erro é registrado. | erros += 1,Identificar áreas onde os jogadores têm mais dificuldades.; Fornecer feedback para melhorar o design do jogo.; Ajustar o nível de suporte ou ajuda disponível.,2; 3; 6; 31,https://doi.org/10.1109/URUCON53396.2021.9647058; https://doi.org/10.1109/ACCESS.2021.3110475; https://doi.org/10.5753/cbie.sbie.2020.622; https://doi.org/10.1109/NICS51282.2020.9335875; https://doi.org/10.1109/ICPET51420.2020.00026; https://ieeexplore.ieee.org/document/7942988; https://doi.org/10.1016/j.caeo.2021.100066; https://dialnet.unirioja.es/servlet/articulo?codigo=9033446; https://www.learntechlib.org/p/182231/,,"Avila-Pesantez, Diego, et al. ""Improving the Serious Game design using Game Learning Analytics and Eye-tracking: A pilot study."" 2021 IEEE URUCON. IEEE, 2021.; Zapata-Cáceres, María, and Estefanía Martín-Barroso. ""Applying game learning analytics to a voluntary video game: Intrinsic motivation, persistence, and rewards in learning to program at an early age."" IEEE Access 9 (2021): 123588-123602.; Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020.; Yohannis, Alfa, Paramaresthi Windriyani, and Henri Septanto. ""Understanding Learning Behaviours in Sorting Algorithm Game."" 2020 7th NAFOSTED Conference on Information and Computer Science (NICS). IEEE, 2020.; Qasrawi, Radwan, Malak Amro, and Rashid Jayousi. ""Automatic analytics model for learning skills analysis using game player data and robotic process automation in a serious game for education."" 2020 International Conference on Promising Electronic Technologies (ICPET). IEEE, 2020.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017.; da Silva, Gabriel Candido, et al. ""Game learning analytics can unpack Escribo play effects in preschool early reading and writing."" Computers and Education Open 3 (2022): 100066.; Tlili, Ahmed, et al. ""A smart collaborative educational game with learning analytics to support english vocabulary teaching."" IJIMAI 6.6 (2021): 215-224.; Slimani, Abdelali, et al. ""Learning analytics through serious games: Data mining algorithms for performance measurement and improvement purposes."" International Journal of Emerging Technologies in Learning (iJET) 13.1 (2018): 46-64."
1, Completáveis,Número de vezes que a fase foi pulada,Quantas vezes os jogadores pularam uma fase.,Incremente o valor por 1 cada vez que uma fase é pulada. | fasesPuladas += 1,Identificar fases que são excessivamente difíceis ou não intuitivas.; Fornecer feedback para melhorar o design do jogo.; Proporcionar alternativas de progresso no jogo.,2; 6; 7,https://doi.org/10.1109/URUCON53396.2021.9647058; https://doi.org/10.1109/ACCESS.2021.3110475; https://doi.org/10.5753/cbie.sbie.2020.622; https://ieeexplore.ieee.org/document/7942988,,"Avila-Pesantez, Diego, et al. ""Improving the Serious Game design using Game Learning Analytics and Eye-tracking: A pilot study."" 2021 IEEE URUCON. IEEE, 2021.; Zapata-Cáceres, María, and Estefanía Martín-Barroso. ""Applying game learning analytics to a voluntary video game: Intrinsic motivation, persistence, and rewards in learning to program at an early age."" IEEE Access 9 (2021): 123588-123602.; Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017."
1, Completáveis,Número de resets de fase,Quantas vezes os jogadores reiniciaram uma fase.,Incremente o valor por 1 cada vez que uma fase é resetada. | fasesResetadas += 1,Identificar fases que necessitam de revisões ou melhorias.; Identificar dificuldades enfrentadas pelos jogadores.; Ajustar o nível de suporte ou ajuda disponível.,2; 4; 7,https://doi.org/10.1007/s11423-022-10138-4; https://doi.org/10.1007/s40593-020-00202-6,7-Lee et al (2022).png,"Lee, Ji-Eun, et al. ""Does slow and steady win the race?: Clustering patterns of students behaviors in an interactive online mathematics game."" Educational technology research and development 70.5 (2022): 1575-1599.; Chen, Fu, Ying Cui, and Man-Wai Chu. ""Utilizing game analytics to inform and validate digital game-based assessment with evidence-centered game design: A case study."" International Journal of Artificial Intelligence in Education 30 (2020): 481-503."
1, Completáveis,Número de ajudas solicitadas,Quantas vezes os jogadores pediram ajuda durante o jogo.,Incremente o valor por 1 cada vez que um pedido de ajuda é feito. | pedidosAjuda += 1,Identificar situações onde os jogadores precisam de mais suporte.; Fornecer feedback para melhorar o design do jogo.; Ajustar o nível de suporte ou ajuda disponível.,4; 5; 6,https://doi.org/10.1109/ACCESS.2019.2938365; https://ieeexplore.ieee.org/document/9369393/,,"Cano, Ana Rus, et al. ""Game analytics evidence-based evaluation of a learning game for intellectual disabled users."" IEEE access 7 (2019): 123820-123829.; López-Pernas, Sonsoles, et al. ""Escapp: A web platform for conducting educational escape rooms."" IEEE Access 9 (2021): 38062-38077."
1, Completáveis,Número de eventos,Quantidade total de  eventos  específicos ocorridos no jogo.,Incremente o valor por 1 cada vez que um evento específico é registrado. | eventos[evento_especifico] += 1,Avaliar a interatividade do jogo.; Identificar pontos de engajamento dos jogadores.;,3; 4; 9,https://ieeexplore.ieee.org/document/9446995,,"Ruipérez-Valiente, José A., et al. ""Ideating and developing a visualization dashboard to support teachers using educational games in the classroom."" IEEE access 9 (2021): 83467-83481."
1, Completáveis,Pontuação de jogador,Pontuação total acumulada pelo jogador ao longo do jogo.,Atualize a pontuação de acordo com as regras definidas. | pontuacao = calcularPontuacao(),Avaliar o desempenho geral dos jogadores.; Motivar os jogadores através de recompensas e rankeamento.,3; 4; 10; 30,https://ieeexplore.ieee.org/document/7942988; https://doi.org/10.1109/LACLO54177.2021.00014; https://doi.org/10.1016/j.caeo.2021.100066; https://doi.org/10.1007/s40593-020-00202-6; https://www.learntechlib.org/p/182231/,,"Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017.; Torcate, Arianne Sarmento, and Cleyton Mario de Oliveira Rodrigues. ""Educational Data Mining with Learning Analytics and Unsupervised Algorithms: Analysis and Diagnosis in Basic Education."" 2021 XVI Latin American Conference on Learning Technologies (LACLO). IEEE, 2021.; da Silva, Gabriel Candido, et al. ""Game learning analytics can unpack Escribo play effects in preschool early reading and writing."" Computers and Education Open 3 (2022): 100066.; Chen, Fu, Ying Cui, and Man-Wai Chu. ""Utilizing game analytics to inform and validate digital game-based assessment with evidence-centered game design: A case study."" International Journal of Artificial Intelligence in Education 30 (2020): 481-503.; Slimani, Abdelali, et al. ""Learning analytics through serious games: Data mining algorithms for performance measurement and improvement purposes."" International Journal of Emerging Technologies in Learning (iJET) 13.1 (2018): 46-64."
1, Completáveis,Pontuação máxima na fase,Pontuação mais alta obtida pelo jogador em uma fase específica.,"Registre a maior pontuação atingida pelo jogador em cada fase. | pontuacaoMaximaFase = max(pontuacaoMaximaFase, pontuacaoAtual)",Identificar os melhores desempenhos dos jogadores.,9; 30,https://doi.org/10.1109/URUCON53396.2021.9647058; https://ieeexplore.ieee.org/document/7942988; https://doi.org/10.1145/3116595.3116620,,"Avila-Pesantez, Diego, et al. ""Improving the Serious Game design using Game Learning Analytics and Eye-tracking: A pilot study."" 2021 IEEE URUCON. IEEE, 2021.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017.; Peddycord-Liu, Zhongxiu, et al. ""Using serious game analytics to inform digital curricular sequencing: What math objective should students play next?."" Proceedings of the Annual Symposium on Computer-Human Interaction in Play. 2017."
